#{"t_start": 1649571600.107465, "env_id": "SimpleDriving-v0"}
r,l,t
-17.620422,30,8.49272
41.113541,48,8.521976
-13.95101,30,8.542708
45.140612,30,8.563223
-15.583585,28,8.582997
-7.589184,27,8.602287
-13.187262,29,8.622615
44.810255,28,8.642314
-13.044403,34,8.664664
44.677467,29,8.685888
-6.962959,30,8.709534
-13.238281,40,8.735999
-7.488986,25,8.753269
-12.118072,36,8.778983
42.927549,34,8.801079
-15.334863,35,8.823517
-11.479843,34,8.845925
-14.419686,27,8.86435
-11.312903,33,8.887936
43.80131,41,8.91312
-15.48975,30,8.932612
-12.17616,29,8.951775
-10.332897,34,8.973234
-18.322362,36,8.995884
-22.535435,41,9.020193
42.423401,47,9.048202
45.372179,30,9.068327
-10.026849,32,9.089162
-13.802274,29,9.108601
-6.982465,25,9.126125
-18.154662,36,9.148698
-9.369744,27,9.167081
-13.743414,38,9.190672
-7.815931,33,9.212563
-15.594348,35,9.234459
41.262951,39,9.258338
-14.317901,43,9.284359
-9.883281,40,9.308759
-13.156092,31,9.329243
-16.459455,35,9.351404
-11.930616,36,9.37491
43.65615,32,9.398609
45.620542,25,9.417796
-22.0926,31,9.44239
-12.192998,37,9.465919
-9.404129,30,9.486259
-8.215389,33,9.508265
-12.137467,32,9.529302
-11.811876,30,9.549493
-10.094933,32,9.570441
-14.393153,43,10.17609
-5.765477,27,10.195071
44.445777,26,10.213765
-19.776496,35,10.236945
-6.781476,28,10.256135
-19.086753,38,10.279566
-20.354034,43,10.305054
-16.429057,32,10.325769
-11.028668,33,10.347055
45.408486,31,10.368266
45.352376,27,10.38868
-14.651157,36,10.4119
-8.158785,36,10.434252
-11.91056,29,10.453567
-13.691919,27,10.477767
-10.65563,34,10.505747
-10.974343,31,10.527588
-14.613997,27,10.546401
-6.086157,28,10.566426
-9.756749,25,10.585097
-17.498462,36,10.608763
-17.755218,30,10.6299
43.850348,28,10.649828
-10.165289,33,10.672068
-15.653367,35,10.705336
-21.004006,44,10.733906
-14.14593,34,10.756605
44.730321,34,10.779701
46.070025,25,10.798196
-7.684543,30,10.819447
-18.615669,37,10.843674
-11.659063,41,10.868874
-7.989119,30,10.891083
45.297713,30,10.912492
-15.300974,26,10.931139
-16.382079,35,10.954477
45.198178,28,10.974165
45.3078,33,10.996807
-16.743001,30,11.017798
-19.194115,36,11.041827
-10.052709,25,11.061521
43.175759,36,11.085199
43.116489,37,11.109632
-8.918902,29,11.130456
44.338661,27,11.150033
