#{"t_start": 1649571591.962805, "env_id": "SimpleDriving-v0"}
r,l,t
-25.207604,43,10.318342
-21.568107,34,10.34078
-24.497708,44,10.367952
-23.271325,37,10.391722
-16.583411,33,10.41274
-22.992562,36,10.435247
-21.349087,39,10.459311
36.161657,37,10.482166
36.598545,38,10.511008
38.115417,37,10.536195
-24.062445,41,10.562493
-25.157423,40,10.58793
-15.703478,36,10.609936
-18.530426,35,10.631831
37.498556,35,10.653626
-21.819073,36,10.675931
-23.061329,38,10.699208
-22.153139,36,10.720329
-19.415222,38,10.742211
-15.172551,34,10.762265
-16.354013,36,10.783319
-19.062314,38,10.80561
-22.586137,38,10.827288
-17.626012,34,10.847612
-23.703905,42,10.872604
-21.1759,36,10.894112
36.904974,37,10.916
-14.539058,33,10.936106
-21.955238,35,10.957657
-21.440908,35,10.980428
36.084299,42,11.006273
39.017394,31,11.02796
-17.871244,38,11.053229
-17.97286,41,11.079729
36.88706,46,11.110488
-15.050064,33,11.140135
-14.005192,35,11.16503
-21.538573,40,11.191473
-18.832158,33,11.213119
37.143028,37,11.236481
38.737231,33,11.258184
38.22111,32,11.279218
-21.142096,38,11.303415
-14.240916,36,11.95018
-19.070589,38,11.97672
-14.46497,35,12.002316
-18.029098,36,12.026698
36.346064,37,12.05145
-14.869734,38,12.078364
-19.707428,39,12.106099
37.731447,33,12.128905
37.479133,36,12.152061
38.152214,34,12.174375
-19.184258,37,12.197875
-19.583817,43,12.224976
36.283355,37,12.247855
-17.695497,36,12.270265
37.221844,34,12.291633
-21.494027,41,12.31657
-15.616551,36,12.338742
-20.485501,36,12.360933
-22.374279,40,12.384697
-23.429041,39,12.40814
-19.415986,31,12.437872
-25.061548,42,12.465421
-23.092986,34,12.487717
-20.155417,38,12.511402
-20.597256,38,12.535203
-16.946542,37,12.558755
35.712063,37,12.582232
38.337739,34,12.604156
36.054471,40,12.628581
-22.782523,38,12.651902
-22.451295,34,12.673213
-16.262482,38,12.696593
38.49804,33,12.716673
-18.015113,37,12.738621
37.959773,35,12.75948
-17.92633,35,12.78078
38.023207,35,12.802173
-13.992059,37,12.824972
-19.263699,41,12.849387
-14.187766,37,12.871465
-22.481915,46,12.898135
-25.52739,42,12.923459
35.238818,40,12.947277
38.127055,33,12.969079
-18.68405,40,12.993993
-25.733195,44,13.022392
38.756142,31,13.051795
38.325647,33,13.077522
-16.440492,37,13.10612
36.789043,36,13.129315
-19.488272,44,13.156209
-13.700682,34,13.177931
-20.991463,37,13.203058
-16.132211,34,13.223686
-16.342829,40,13.247601
-22.666102,40,13.903801
-17.108055,37,13.928115
37.311841,38,13.955029
38.427001,35,13.98001
38.105699,34,14.00363
-15.893686,36,14.029523
-15.848655,39,14.05677
37.309236,35,14.080516
37.26895,35,14.104581
-24.157671,37,14.12866
-17.750223,42,14.156426
-15.189195,41,14.182491
-16.419645,37,14.20757
-21.812789,41,14.235323
-23.672087,42,14.262166
-12.602454,33,14.283931
-28.33037,46,14.312453
-18.310286,34,14.334895
-25.1136,44,14.368998
38.346811,35,14.392982
-18.334043,40,14.418951
-15.281929,34,14.440786
-24.811501,43,14.466291
37.268539,35,14.488417
38.170269,33,14.509707
-16.070284,34,14.531608
39.215349,36,14.554873
-24.058199,40,14.579444
-16.37275,41,14.603699
-22.188255,43,14.629063
-15.66809,36,14.651056
-24.031589,35,14.672239
-16.630237,36,14.694185
-22.348929,40,14.717353
-14.400885,35,14.738401
37.483582,37,14.760693
37.146704,38,14.783823
-18.335897,38,14.806899
-20.131153,39,14.829472
-24.035671,44,14.855541
-17.54922,38,14.878571
-18.938478,39,14.901969
-24.610693,42,14.926932
-20.767986,41,14.951415
-25.560439,43,14.981349
-22.511889,39,15.009379
